molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_3682,-5.303,-2.004,3.299,0.083,-43888.328,-43882.032,-43889.367,-1.039,6.296
hc_c42h24_0pent_3201,-5.363,-1.931,3.432,0.158,-43888.043,-43881.677,-43889.014,-0.972,6.366
hc_c42h24_0pent_3648,-5.224,-2.059,3.165,0.110,-43888.340,-43882.116,-43889.433,-1.093,6.224
hc_c42h24_0pent_1272,-5.361,-1.895,3.466,0.107,-43887.768,-43881.393,-43888.682,-0.914,6.376
hc_c42h24_0pent_2074,-5.331,-1.967,3.365,0.097,-43888.444,-43882.142,-43889.459,-1.015,6.302
hc_c42h24_0pent_124,-5.527,-1.801,3.726,0.018,-43887.810,-43881.285,-43888.650,-0.840,6.525
hc_c42h24_0pent_1106,-5.082,-2.154,2.928,0.233,-43887.431,-43881.336,-43888.607,-1.177,6.094
hc_c42h24_0pent_1461,-5.329,-1.800,3.529,0.263,-43887.560,-43881.100,-43888.617,-1.057,6.460
hc_c42h24_0pent_2411,-5.421,-1.878,3.543,0.121,-43888.380,-43881.938,-43889.262,-0.882,6.442
hc_c42h24_0pent_4470,-5.473,-1.815,3.659,0.164,-43887.919,-43881.425,-43888.744,-0.825,6.494
hc_c42h24_0pent_4058,-5.311,-1.967,3.344,0.346,-43887.674,-43881.348,-43888.672,-0.998,6.325
hc_c42h24_0pent_1355,-5.357,-1.937,3.420,0.123,-43888.410,-43882.045,-43889.363,-0.954,6.365
hc_c42h24_0pent_3405,-5.404,-1.885,3.519,0.055,-43888.065,-43881.648,-43888.965,-0.900,6.416
hc_c42h24_0pent_651,-5.433,-1.822,3.611,0.201,-43887.295,-43880.875,-43888.167,-0.872,6.420
hc_c42h24_0pent_4879,-4.984,-2.337,2.646,0.150,-43887.597,-43881.591,-43888.935,-1.338,6.006
hc_c42h24_0pent_4860,-5.072,-2.274,2.797,0.126,-43888.215,-43882.114,-43889.485,-1.269,6.101
hc_c42h24_0pent_2198,-5.378,-1.882,3.496,0.081,-43888.435,-43882.072,-43889.353,-0.918,6.363
hc_c42h24_0pent_2745,-5.274,-1.927,3.347,0.185,-43887.614,-43881.288,-43888.527,-0.913,6.326
hc_c42h24_0pent_3409,-5.458,-1.799,3.658,0.045,-43888.142,-43881.676,-43888.972,-0.830,6.466
hc_c38h22_0pent_1051,-5.433,-1.836,3.597,0.033,-39712.885,-39706.406,-39713.714,-0.829,6.478
hc_c42h24_0pent_2443,-5.356,-1.951,3.406,0.253,-43888.297,-43881.960,-43889.289,-0.992,6.337
hc_c42h24_0pent_5503,-5.037,-2.327,2.711,0.219,-43888.123,-43882.054,-43889.444,-1.321,6.069
hc_c42h24_0pent_1529,-5.301,-1.962,3.340,0.159,-43887.325,-43880.985,-43888.289,-0.964,6.340
hc_c42h24_0pent_3440,-5.345,-1.911,3.434,0.186,-43887.820,-43881.443,-43888.729,-0.909,6.377
hc_c42h24_0pent_3915,-5.290,-2.024,3.266,0.059,-43888.200,-43881.941,-43889.266,-1.066,6.259
hc_c42h24_0pent_5807,-4.990,-2.289,2.700,0.179,-43887.460,-43881.460,-43888.759,-1.300,5.999
hc_c42h24_0pent_3102,-5.324,-1.908,3.416,0.195,-43887.819,-43881.488,-43888.738,-0.919,6.331
hc_c38h22_0pent_71,-5.442,-1.783,3.659,0.158,-39712.248,-39705.757,-39713.021,-0.773,6.491
hc_c42h24_0pent_3233,-5.378,-1.897,3.481,0.125,-43888.144,-43881.761,-43889.080,-0.936,6.383
hc_c38h22_0pent_1112,-5.249,-1.975,3.273,0.115,-39712.600,-39706.300,-39713.552,-0.952,6.300
hc_c38h22_0pent_1007,-5.281,-1.997,3.284,0.180,-39712.914,-39706.603,-39713.906,-0.992,6.310
hc_c42h24_0pent_2270,-5.333,-1.930,3.403,0.411,-43887.840,-43881.452,-43888.726,-0.886,6.388
hc_c42h24_0pent_6177,-5.002,-2.165,2.837,0.443,-43887.283,-43881.152,-43888.375,-1.091,6.131
hc_c42h24_0pent_4224,-5.298,-1.907,3.391,0.147,-43887.791,-43881.479,-43888.685,-0.894,6.311
hc_c42h24_0pent_2681,-5.263,-1.968,3.295,0.180,-43887.734,-43881.463,-43888.728,-0.994,6.271
hc_c42h24_0pent_4996,-5.185,-2.119,3.066,0.138,-43888.151,-43881.984,-43889.300,-1.149,6.166
hc_c38h22_0pent_419,-5.273,-1.995,3.278,0.087,-39712.662,-39706.318,-39713.621,-0.959,6.344
hc_c42h24_0pent_2587,-5.349,-1.940,3.408,0.128,-43888.120,-43881.772,-43889.097,-0.977,6.348
hc_c42h24_0pent_3369,-5.288,-2.012,3.276,0.241,-43886.707,-43880.415,-43888.209,-1.502,6.293
hc_c42h24_0pent_5545,-5.066,-2.207,2.859,0.082,-43887.956,-43881.888,-43889.182,-1.226,6.068
hc_c38h22_0pent_372,-5.316,-1.933,3.383,0.185,-39712.535,-39706.136,-39713.423,-0.888,6.399
hc_c42h24_0pent_1852,-5.219,-2.066,3.153,0.119,-43888.297,-43882.087,-43889.395,-1.098,6.211
hc_c42h24_0pent_2135,-5.337,-1.902,3.435,0.179,-43888.378,-43882.054,-43889.319,-0.941,6.324
hc_c42h24_0pent_4518,-5.327,-1.868,3.459,0.209,-43887.185,-43880.836,-43888.079,-0.894,6.349
hc_c38h22_0pent_1053,-5.404,-1.881,3.523,0.164,-39712.746,-39706.286,-39713.613,-0.866,6.460
