molecule_id,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c34h20_0pent_436,-4.866,-2.497,2.369,0.056,-35537.288,-35531.316,-35538.705,-1.418,5.971
hc_c42h24_0pent_2062,-5.323,-1.981,3.343,0.144,-43888.325,-43882.024,-43889.355,-1.030,6.300
hc_c42h24_0pent_2185,-5.380,-1.826,3.554,0.259,-43888.039,-43881.671,-43888.893,-0.854,6.369
hc_c42h24_0pent_2415,-5.434,-1.841,3.593,0.109,-43888.320,-43881.905,-43889.226,-0.905,6.415
hc_c42h24_0pent_6505,-4.859,-2.530,2.329,0.221,-43888.256,-43882.389,-43889.798,-1.542,5.867
hc_c38h22_0pent_762,-5.248,-2.005,3.244,0.055,-39712.330,-39706.003,-39713.290,-0.960,6.327
hc_c42h24_0pent_3575,-5.140,-2.078,3.061,0.271,-43887.749,-43881.550,-43888.830,-1.081,6.199
hc_c38h22_0pent_1634,-4.777,-2.580,2.197,0.023,-39712.065,-39706.214,-39713.596,-1.531,5.851
hc_c38h22_0pent_1596,-4.862,-2.521,2.341,0.118,-39712.892,-39706.936,-39714.345,-1.453,5.956
hc_c42h24_0pent_2473,-5.360,-1.956,3.404,0.176,-43888.313,-43881.967,-43889.312,-0.999,6.346
hc_c42h24_0pent_2729,-5.258,-1.990,3.268,0.347,-43887.365,-43881.061,-43888.353,-0.989,6.304
hc_c38h22_0pent_1563,-5.115,-2.185,2.930,0.169,-39712.375,-39706.168,-39713.504,-1.129,6.207
hc_c38h22_0pent_392,-5.367,-1.911,3.456,0.144,-39712.519,-39706.087,-39713.407,-0.889,6.432
hc_c38h22_0pent_1466,-5.145,-2.179,2.966,0.106,-39712.589,-39706.340,-39713.693,-1.104,6.249
hc_c42h24_0pent_1314,-5.247,-1.964,3.283,0.248,-43887.401,-43881.140,-43888.385,-0.984,6.261
hc_c42h24_0pent_387,-5.398,-1.901,3.496,0.167,-43887.312,-43880.899,-43888.239,-0.927,6.414
hc_c38h22_0pent_885,-5.314,-1.910,3.405,0.116,-39712.401,-39706.033,-39713.304,-0.903,6.369
hc_c38h22_0pent_1049,-5.392,-1.881,3.511,0.120,-39712.758,-39706.320,-39713.632,-0.874,6.438
hc_c42h24_0pent_1901,-5.432,-1.859,3.572,0.101,-43888.333,-43881.896,-43889.212,-0.879,6.437
hc_c42h24_0pent_4053,-5.229,-2.072,3.156,0.268,-43887.662,-43881.404,-43888.738,-1.075,6.258
hc_c38h22_0pent_1329,-5.154,-2.205,2.948,0.143,-39713.020,-39706.833,-39714.221,-1.202,6.187
hc_c38h22_0pent_555,-5.305,-1.998,3.307,0.084,-39713.068,-39706.752,-39714.082,-1.013,6.317
hc_c42h24_0pent_2230,-5.397,-1.855,3.542,0.180,-43888.096,-43881.680,-43889.008,-0.912,6.416
hc_c42h24_0pent_89,-5.310,-1.889,3.421,0.138,-43886.896,-43880.595,-43887.824,-0.927,6.302
hc_c34h20_0pent_50,-5.495,-1.791,3.703,0.064,-35537.032,-35530.456,-35537.780,-0.748,6.576
hc_c42h24_0pent_5385,-5.171,-2.185,2.985,0.107,-43888.196,-43882.014,-43889.385,-1.190,6.182
hc_c42h24_0pent_2618,-5.352,-1.903,3.449,0.220,-43888.155,-43881.783,-43889.080,-0.925,6.372
hc_c42h24_0pent_1920,-5.347,-1.893,3.454,0.051,-43887.528,-43881.184,-43888.471,-0.943,6.344
hc_c42h24_0pent_5784,-5.135,-2.142,2.993,0.203,-43887.568,-43881.434,-43888.732,-1.164,6.134
hc_c42h24_0pent_3685,-5.268,-2.050,3.218,0.116,-43888.353,-43882.057,-43889.409,-1.056,6.296
hc_c42h24_0pent_6497,-4.738,-2.621,2.117,0.068,-43887.614,-43881.852,-43889.223,-1.609,5.762
hc_c42h24_0pent_6490,-4.815,-2.540,2.275,0.142,-43887.842,-43882.019,-43889.395,-1.553,5.824
hc_c42h24_0pent_6304,-4.917,-2.490,2.428,0.089,-43888.075,-43882.102,-43889.552,-1.478,5.973
hc_c42h24_0pent_5495,-5.261,-2.070,3.191,0.154,-43888.117,-43881.861,-43889.219,-1.103,6.256
hc_c42h24_0pent_4380,-5.192,-1.999,3.193,0.163,-43887.307,-43881.357,-43888.402,-1.095,5.950
hc_c38h22_0pent_187,-5.490,-1.725,3.765,0.295,-39712.212,-39705.679,-39712.909,-0.697,6.533
hc_c42h24_0pent_1465,-5.267,-1.863,3.404,0.258,-43887.443,-43881.015,-43888.288,-0.845,6.429
hc_c42h24_0pent_3969,-5.321,-1.939,3.383,0.335,-43887.540,-43881.207,-43888.523,-0.983,6.333
hc_c42h24_0pent_343,-5.439,-1.759,3.681,0.216,-43887.877,-43881.437,-43888.656,-0.779,6.440
hc_c42h24_0pent_6415,-4.878,-2.475,2.403,0.132,-43887.973,-43882.081,-43889.460,-1.487,5.892
hc_c42h24_0pent_5629,-5.002,-2.325,2.677,0.036,-43887.341,-43881.271,-43888.622,-1.281,6.070
hc_c42h24_0pent_3267,-5.249,-2.064,3.185,0.079,-43887.816,-43881.569,-43888.919,-1.103,6.246
hc_c42h24_0pent_4497,-5.334,-1.884,3.450,0.228,-43887.786,-43881.431,-43888.688,-0.902,6.354
hc_c38h22_0pent_899,-5.464,-1.823,3.641,0.099,-39713.128,-39706.608,-39713.931,-0.803,6.521
hc_c42h24_0pent_3879,-5.278,-2.006,3.272,0.132,-43887.544,-43881.286,-43888.599,-1.055,6.258
hc_c42h24_0pent_722,-5.476,-1.763,3.713,0.079,-43887.438,-43880.962,-43888.242,-0.805,6.476
hc_c42h24_0pent_4967,-5.046,-2.282,2.764,0.039,-43887.745,-43881.643,-43888.986,-1.241,6.103
hc_c42h24_0pent_703,-5.408,-1.785,3.623,0.242,-43887.193,-43880.777,-43888.004,-0.811,6.417
hc_c42h24_0pent_6460,-4.814,-2.551,2.264,0.144,-43887.476,-43881.598,-43888.996,-1.520,5.878
hc_c42h24_0pent_208,-5.500,-1.777,3.724,0.196,-43887.393,-43880.898,-43888.211,-0.818,6.494
hc_c38h22_0pent_83,-5.507,-1.752,3.755,0.012,-39712.462,-39705.926,-39713.236,-0.773,6.537
hc_c34h20_0pent_70,-5.546,-1.731,3.815,0.322,-35537.308,-35530.668,-35538.003,-0.695,6.640
hc_c42h24_0pent_3708,-5.158,-2.055,3.102,0.048,-43887.761,-43881.612,-43888.848,-1.087,6.149
hc_c38h22_0pent_954,-5.262,-2.051,3.211,0.159,-39713.300,-39706.985,-39714.334,-1.035,6.315
hc_c34h20_0pent_205,-5.320,-1.876,3.444,0.260,-35537.499,-35531.058,-35538.275,-0.776,6.441
hc_c42h24_0pent_3699,-5.251,-2.041,3.210,0.045,-43888.003,-43881.744,-43889.061,-1.058,6.259
hc_c38h22_0pent_503,-5.341,-1.883,3.458,0.032,-39712.734,-39706.353,-39713.628,-0.895,6.381
hc_c42h24_0pent_888,-5.312,-1.938,3.373,0.073,-43887.835,-43881.496,-43888.789,-0.954,6.338
hc_c42h24_0pent_5019,-5.184,-2.176,3.008,0.070,-43888.490,-43882.291,-43889.674,-1.184,6.199
hc_c42h24_0pent_687,-5.484,-1.835,3.648,0.317,-43887.244,-43880.745,-43888.128,-0.884,6.499
hc_c38h22_0pent_1372,-5.101,-2.162,2.939,0.136,-39712.543,-39706.349,-39713.646,-1.103,6.194
hc_c38h22_0pent_981,-5.302,-1.980,3.322,0.052,-39713.087,-39706.738,-39714.058,-0.971,6.348
hc_c42h24_0pent_5944,-4.889,-2.470,2.419,0.097,-43887.843,-43881.978,-43889.369,-1.526,5.865
hc_c42h24_0pent_1053,-5.132,-2.134,2.998,0.134,-43887.581,-43881.427,-43888.715,-1.133,6.155
hc_c42h24_0pent_4951,-5.065,-2.281,2.784,0.127,-43888.022,-43881.931,-43889.297,-1.274,6.091
hc_c42h24_0pent_5794,-5.130,-2.187,2.943,0.411,-43887.885,-43881.730,-43889.079,-1.194,6.155
hc_c38h22_0pent_478,-5.376,-1.856,3.520,0.116,-39712.809,-39706.367,-39713.644,-0.835,6.442
hc_c42h24_0pent_4185,-5.203,-2.103,3.100,0.431,-43886.960,-43880.767,-43888.108,-1.147,6.193
hc_c42h24_0pent_5981,-4.996,-2.346,2.650,0.106,-43888.041,-43882.005,-43889.374,-1.333,6.036
hc_c38h22_0pent_900,-5.537,-1.756,3.780,0.140,-39713.090,-39706.497,-39713.809,-0.719,6.593
hc_c42h24_0pent_6215,-4.737,-2.623,2.115,0.080,-43887.436,-43881.676,-43889.047,-1.611,5.760
hc_c42h24_0pent_4496,-5.375,-1.776,3.599,0.413,-43887.723,-43881.275,-43888.495,-0.772,6.448
hc_c42h24_0pent_6504,-4.858,-2.529,2.329,0.031,-43888.255,-43882.389,-43889.798,-1.542,5.866
hc_c38h22_0pent_637,-5.424,-1.870,3.555,0.121,-39713.404,-39706.915,-39714.237,-0.833,6.489
hc_c42h24_0pent_3329,-5.251,-2.005,3.246,0.213,-43887.206,-43880.928,-43888.205,-0.999,6.277
hc_c42h24_0pent_3030,-5.356,-1.957,3.399,0.141,-43888.383,-43882.030,-43889.362,-0.979,6.353
hc_c42h24_0pent_5616,-5.048,-2.305,2.743,0.106,-43888.086,-43882.000,-43889.369,-1.283,6.086
hc_c42h24_0pent_1411,-5.336,-1.905,3.431,0.487,-43887.525,-43881.147,-43888.438,-0.913,6.378
hc_c42h24_0pent_5931,-5.144,-2.200,2.944,0.053,-43888.213,-43882.082,-43889.448,-1.236,6.131
hc_c42h24_0pent_107,-5.398,-1.793,3.605,0.165,-43886.896,-43880.392,-43887.608,-0.712,6.504
hc_c38h22_0pent_565,-5.340,-1.909,3.431,0.093,-39713.094,-39706.716,-39713.992,-0.898,6.378
hc_c42h24_0pent_6447,-4.907,-2.488,2.419,0.249,-43888.183,-43882.243,-43889.671,-1.488,5.940
hc_c42h24_0pent_6498,-4.750,-2.606,2.144,0.152,-43887.342,-43881.572,-43888.946,-1.604,5.770
hc_c38h22_0pent_336,-5.219,-2.120,3.098,0.009,-39712.787,-39706.521,-39713.882,-1.095,6.266
hc_c42h24_0pent_4094,-5.187,-2.135,3.052,0.124,-43887.879,-43881.698,-43889.036,-1.157,6.181
hc_c42h24_0pent_4324,-5.305,-1.973,3.332,0.072,-43888.027,-43881.668,-43888.980,-0.954,6.359
hc_c38h22_0pent_254,-5.291,-1.977,3.314,0.103,-39712.410,-39706.065,-39713.354,-0.944,6.345
hc_c42h24_0pent_5450,-5.128,-2.204,2.924,0.287,-43887.958,-43881.784,-43889.136,-1.177,6.174
hc_c38h22_0pent_124,-5.450,-1.788,3.662,0.270,-39712.189,-39705.617,-39712.874,-0.686,6.572
hc_c38h22_0pent_481,-5.359,-1.866,3.493,0.273,-39712.807,-39706.406,-39713.671,-0.864,6.400
hc_c38h22_0pent_838,-5.380,-1.869,3.511,0.171,-39713.094,-39706.662,-39713.941,-0.848,6.432
hc_c42h24_0pent_2892,-5.294,-1.985,3.309,0.055,-43888.059,-43881.778,-43889.079,-1.020,6.281
hc_c42h24_0pent_5692,-5.073,-2.258,2.815,0.157,-43887.946,-43881.842,-43889.204,-1.259,6.104
hc_c38h22_0pent_218,-5.455,-1.852,3.603,0.189,-39712.174,-39705.685,-39713.052,-0.878,6.490
hc_c42h24_0pent_5391,-5.221,-2.138,3.083,0.126,-43888.601,-43882.378,-43889.753,-1.151,6.223
hc_c42h24_0pent_5435,-5.191,-2.137,3.054,0.237,-43888.251,-43882.040,-43889.393,-1.141,6.211
hc_c42h24_0pent_750,-5.230,-1.943,3.288,0.291,-43887.460,-43881.346,-43888.587,-1.127,6.114
hc_c42h24_0pent_3042,-5.380,-1.900,3.480,0.205,-43888.038,-43881.680,-43888.955,-0.917,6.359
hc_c42h24_0pent_1151,-5.192,-2.080,3.112,0.157,-43887.971,-43881.768,-43889.070,-1.099,6.203
hc_c42h24_0pent_2612,-5.391,-1.887,3.503,0.147,-43888.364,-43881.952,-43889.259,-0.895,6.412
hc_c42h24_0pent_4959,-4.998,-2.349,2.649,0.305,-43887.676,-43881.656,-43889.023,-1.347,6.020
hc_c42h24_0pent_1849,-5.165,-2.106,3.058,0.116,-43888.178,-43882.013,-43889.316,-1.138,6.165
hc_c42h24_0pent_2600,-5.334,-1.961,3.372,0.059,-43888.025,-43881.698,-43889.023,-0.998,6.328
hc_c42h24_0pent_5478,-5.183,-2.174,3.008,0.044,-43888.144,-43881.967,-43889.338,-1.194,6.177
hc_c42h24_0pent_2656,-5.207,-1.983,3.224,0.208,-43887.750,-43881.512,-43888.745,-0.996,6.238
hc_c42h24_0pent_3876,-5.198,-1.949,3.248,0.357,-43887.282,-43881.014,-43888.250,-0.967,6.268
hc_c42h24_0pent_2257,-5.310,-1.912,3.398,0.241,-43887.625,-43881.308,-43888.571,-0.946,6.317
hc_c42h24_0pent_1007,-5.299,-1.946,3.354,0.061,-43887.394,-43881.011,-43888.329,-0.934,6.383
hc_c38h22_0pent_88,-5.440,-1.796,3.644,0.069,-39712.522,-39706.045,-39713.304,-0.783,6.477
hc_c38h22_0pent_712,-5.326,-1.918,3.408,0.178,-39712.733,-39706.352,-39713.632,-0.899,6.381
hc_c38h22_0pent_638,-5.412,-1.843,3.569,0.124,-39713.399,-39706.972,-39714.265,-0.865,6.427
hc_c42h24_0pent_4565,-4.930,-2.193,2.737,0.310,-43887.073,-43880.991,-43888.526,-1.454,6.081
hc_c38h22_0pent_593,-5.410,-1.849,3.561,0.302,-39713.112,-39706.661,-39713.945,-0.833,6.451
hc_c42h24_0pent_5920,-5.023,-2.338,2.685,0.065,-43888.010,-43881.955,-43889.329,-1.319,6.056
hc_c42h24_0pent_5074,-5.124,-2.198,2.926,0.301,-43887.879,-43881.674,-43889.025,-1.146,6.205
hc_c42h24_0pent_1481,-5.332,-1.936,3.395,0.112,-43887.894,-43881.574,-43888.861,-0.967,6.320
hc_c42h24_0pent_6638,-4.599,-2.787,1.813,0.051,-43887.070,-43881.444,-43888.851,-1.781,5.626
hc_c42h24_0pent_2193,-5.407,-1.883,3.524,0.180,-43888.428,-43882.020,-43889.349,-0.921,6.408
hc_c42h24_0pent_5424,-5.166,-2.192,2.974,0.044,-43888.568,-43882.395,-43889.769,-1.202,6.173
hc_c30h18_0pent_61,-5.343,-1.918,3.425,0.050,-31362.822,-31356.331,-31363.628,-0.806,6.491
hc_c42h24_0pent_6158,-5.073,-2.223,2.850,0.117,-43887.138,-43881.042,-43888.357,-1.219,6.097
hc_c42h24_0pent_2948,-5.424,-1.855,3.570,0.257,-43888.071,-43881.635,-43888.972,-0.901,6.436
hc_c38h22_0pent_1418,-5.005,-2.301,2.704,0.055,-39712.570,-39706.501,-39713.837,-1.267,6.068
hc_c42h24_0pent_1889,-5.422,-1.861,3.561,0.095,-43888.324,-43881.885,-43889.199,-0.875,6.439
hc_c34h20_0pent_66,-5.538,-1.662,3.876,0.151,-35537.628,-35531.001,-35538.237,-0.610,6.626
hc_c38h22_0pent_59,-5.541,-1.715,3.826,0.048,-39712.599,-39706.018,-39713.315,-0.716,6.581
hc_c42h24_0pent_1524,-5.398,-1.900,3.498,0.177,-43888.149,-43881.742,-43889.064,-0.915,6.407
hc_c42h24_0pent_1209,-5.185,-2.091,3.094,0.139,-43888.245,-43882.030,-43889.318,-1.073,6.215
hc_c42h24_0pent_3194,-5.366,-1.925,3.441,0.082,-43888.317,-43881.917,-43889.261,-0.944,6.400
hc_c38h22_0pent_611,-5.455,-1.820,3.635,0.083,-39713.116,-39706.626,-39713.955,-0.839,6.490
hc_c42h24_0pent_5371,-5.139,-2.155,2.984,0.034,-43887.790,-43881.618,-43888.933,-1.143,6.172
hc_c38h22_0pent_152,-5.462,-1.788,3.674,0.135,-39712.026,-39705.518,-39712.811,-0.785,6.508
hc_c42h24_0pent_3660,-5.269,-2.051,3.218,0.127,-43888.249,-43881.965,-43889.316,-1.067,6.285
hc_c30h18_0pent_82,-5.484,-1.758,3.726,0.078,-31362.542,-31355.909,-31363.197,-0.655,6.632
hc_c42h24_0pent_5965,-4.999,-2.350,2.648,0.118,-43888.028,-43882.001,-43889.374,-1.346,6.027
hc_c42h24_0pent_75,-5.334,-1.852,3.482,0.124,-43887.060,-43880.728,-43887.939,-0.880,6.331
hc_c42h24_0pent_4450,-5.307,-1.853,3.454,0.230,-43887.619,-43881.295,-43888.497,-0.878,6.323
hc_c38h22_0pent_684,-5.339,-1.934,3.405,0.008,-39713.415,-39707.038,-39714.334,-0.920,6.376
hc_c42h24_0pent_6469,-4.841,-2.523,2.318,0.151,-43887.691,-43881.828,-43889.214,-1.522,5.863
hc_c34h20_0pent_34,-5.523,-1.724,3.798,0.103,-35537.120,-35530.506,-35537.775,-0.656,6.614
hc_c42h24_0pent_3058,-5.386,-1.884,3.501,0.204,-43888.020,-43881.619,-43888.938,-0.918,6.402
hc_c42h24_0pent_2859,-5.202,-1.956,3.245,0.332,-43887.073,-43880.801,-43888.026,-0.953,6.273
hc_c42h24_0pent_2445,-5.346,-1.976,3.370,0.205,-43888.329,-43881.995,-43889.344,-1.015,6.334
hc_c42h24_0pent_2901,-5.216,-2.060,3.156,0.275,-43887.870,-43881.672,-43888.983,-1.113,6.198
hc_c42h24_0pent_6454,-4.805,-2.563,2.243,0.139,-43887.799,-43881.934,-43889.317,-1.517,5.866
hc_c42h24_0pent_621,-5.491,-1.758,3.733,0.218,-43887.659,-43881.125,-43888.433,-0.774,6.534
hc_c34h20_0pent_117,-5.338,-1.960,3.378,0.072,-35537.519,-35531.069,-35538.401,-0.882,6.450
hc_c42h24_0pent_1013,-5.263,-1.972,3.292,0.270,-43887.367,-43881.028,-43888.344,-0.977,6.339
hc_c42h24_0pent_6090,-5.118,-2.187,2.931,0.205,-43887.866,-43881.738,-43889.075,-1.208,6.128
hc_c42h24_0pent_3718,-5.280,-2.009,3.271,0.111,-43888.345,-43882.068,-43889.391,-1.046,6.278
hc_c38h22_0pent_380,-5.383,-1.904,3.479,0.080,-39713.131,-39706.690,-39714.010,-0.879,6.441
hc_c42h24_0pent_4532,-5.213,-1.944,3.269,0.132,-43887.182,-43880.967,-43888.157,-0.975,6.215
hc_c42h24_0pent_4902,-4.982,-2.338,2.643,0.138,-43887.418,-43881.382,-43888.721,-1.303,6.036
hc_c42h24_0pent_1630,-5.315,-1.952,3.363,0.260,-43887.665,-43881.354,-43888.656,-0.992,6.310
hc_c42h24_0pent_2805,-5.246,-1.996,3.251,0.403,-43887.802,-43881.528,-43888.828,-1.026,6.274
hc_c42h24_0pent_4247,-5.352,-1.965,3.387,0.149,-43887.992,-43881.654,-43888.999,-1.007,6.338
hc_c42h24_0pent_429,-5.455,-1.788,3.667,0.164,-43887.176,-43880.690,-43887.957,-0.781,6.485
hc_c42h24_0pent_3674,-5.212,-2.095,3.117,0.075,-43888.153,-43881.960,-43889.305,-1.152,6.193
hc_c42h24_0pent_1632,-5.345,-1.914,3.432,0.138,-43887.763,-43881.399,-43888.676,-0.913,6.364
hc_c42h24_0pent_3106,-5.245,-1.949,3.296,0.081,-43887.412,-43881.173,-43888.400,-0.987,6.240
hc_c38h22_0pent_1599,-4.868,-2.505,2.363,0.189,-39712.622,-39706.672,-39714.069,-1.447,5.950
hc_c42h24_0pent_2066,-5.433,-1.896,3.537,0.060,-43888.618,-43882.148,-43889.519,-0.901,6.470
hc_c42h24_0pent_2371,-5.422,-1.863,3.559,0.326,-43888.154,-43881.712,-43889.046,-0.891,6.443
hc_c42h24_0pent_4454,-5.301,-1.941,3.360,0.351,-43887.617,-43881.271,-43888.540,-0.923,6.347
hc_c38h22_0pent_1559,-5.065,-2.215,2.850,0.162,-39712.152,-39706.024,-39713.321,-1.169,6.128
hc_c34h20_0pent_259,-5.159,-2.061,3.098,0.103,-35537.308,-35531.058,-35538.309,-1.001,6.250
hc_c42h24_0pent_4326,-5.343,-1.940,3.403,0.150,-43888.129,-43881.776,-43889.075,-0.946,6.353
hc_c38h22_0pent_1539,-5.126,-2.185,2.941,0.239,-39712.621,-39706.451,-39713.790,-1.170,6.169
hc_c42h24_0pent_5836,-5.075,-2.255,2.820,0.085,-43888.090,-43882.005,-43889.366,-1.275,6.085
hc_c38h22_0pent_130,-5.471,-1.790,3.681,0.059,-39712.027,-39705.524,-39712.812,-0.785,6.503
hc_c42h24_0pent_1583,-5.355,-1.908,3.447,0.147,-43888.175,-43881.811,-43889.103,-0.929,6.363
hc_c42h24_0pent_6376,-4.984,-2.416,2.567,0.071,-43888.303,-43882.311,-43889.732,-1.429,5.993
hc_c42h24_0pent_879,-5.304,-1.984,3.321,0.311,-43887.630,-43881.147,-43888.557,-0.927,6.484
hc_c42h24_0pent_4402,-5.350,-1.871,3.479,0.208,-43887.596,-43881.225,-43888.478,-0.882,6.371
hc_c42h24_0pent_2943,-5.343,-1.940,3.402,0.064,-43888.390,-43882.028,-43889.344,-0.954,6.361
hc_c38h22_0pent_1207,-5.065,-2.191,2.874,0.114,-39712.467,-39706.267,-39713.589,-1.122,6.200
hc_c42h24_0pent_309,-5.460,-1.857,3.603,0.323,-43887.455,-43881.004,-43888.351,-0.896,6.451
hc_c42h24_0pent_2264,-5.343,-1.890,3.453,0.097,-43887.675,-43881.339,-43888.605,-0.930,6.336
hc_c42h24_0pent_6526,-4.877,-2.499,2.378,0.086,-43887.991,-43882.092,-43889.492,-1.501,5.899
hc_c42h24_0pent_4028,-5.431,-1.851,3.580,0.155,-43888.129,-43881.676,-43888.997,-0.868,6.453
hc_c38h22_0pent_262,-5.421,-1.831,3.591,0.069,-39712.881,-39706.400,-39713.698,-0.817,6.481
hc_c34h20_0pent_277,-5.252,-1.975,3.277,0.307,-35537.158,-35530.773,-35538.070,-0.912,6.384
hc_c42h24_0pent_4751,-4.984,-2.358,2.626,0.113,-43888.033,-43881.985,-43889.340,-1.307,6.047
hc_c42h24_0pent_865,-5.354,-1.953,3.401,0.127,-43888.016,-43881.613,-43888.966,-0.950,6.403
hc_c42h24_0pent_5656,-5.065,-2.229,2.837,0.260,-43887.728,-43881.575,-43888.922,-1.193,6.153
hc_c42h24_0pent_1502,-5.277,-2.002,3.275,0.185,-43887.600,-43881.278,-43888.601,-1.000,6.322
hc_c42h24_0pent_4318,-5.464,-1.811,3.653,0.234,-43888.138,-43881.639,-43888.960,-0.823,6.498
hc_c42h24_0pent_5242,-5.107,-2.197,2.910,0.156,-43887.866,-43881.691,-43889.023,-1.157,6.175
hc_c42h24_0pent_1157,-5.181,-2.023,3.158,0.020,-43888.039,-43881.867,-43889.103,-1.064,6.173
hc_c30h18_0pent_116,-4.788,-2.552,2.236,0.073,-31362.001,-31356.060,-31363.431,-1.430,5.940
hc_c42h24_0pent_4337,-5.185,-2.056,3.130,0.160,-43887.494,-43881.307,-43888.579,-1.085,6.187
hc_c42h24_0pent_332,-5.530,-1.790,3.740,0.060,-43887.591,-43881.080,-43888.440,-0.849,6.511
hc_c42h24_0pent_292,-5.464,-1.854,3.610,0.240,-43886.941,-43880.465,-43887.838,-0.896,6.476
hc_c42h24_0pent_6542,-4.921,-2.453,2.468,0.129,-43887.731,-43881.808,-43889.198,-1.467,5.923
hc_c42h24_0pent_2788,-5.271,-2.005,3.265,0.401,-43887.998,-43881.709,-43889.021,-1.022,6.290
hc_c42h24_0pent_920,-5.255,-1.963,3.292,0.079,-43887.561,-43881.246,-43888.506,-0.945,6.315
hc_c42h24_0pent_2678,-5.284,-1.931,3.353,0.114,-43887.699,-43881.415,-43888.658,-0.959,6.284
hc_c38h22_0pent_1275,-5.002,-2.319,2.682,0.157,-39712.310,-39706.260,-39713.602,-1.292,6.050
hc_c30h18_0pent_58,-5.434,-1.816,3.618,0.082,-31362.576,-31355.988,-31363.277,-0.700,6.588
hc_c42h24_0pent_1212,-5.181,-2.146,3.035,0.118,-43888.270,-43882.052,-43889.395,-1.125,6.217
hc_c42h24_0pent_435,-5.436,-1.848,3.588,0.072,-43887.099,-43880.646,-43887.978,-0.880,6.453
hc_c42h24_0pent_6171,-4.970,-2.263,2.707,0.107,-43887.241,-43881.249,-43888.505,-1.264,5.992
hc_c38h22_0pent_1573,-4.772,-2.599,2.173,0.088,-39712.545,-39706.704,-39714.098,-1.553,5.841
hc_c42h24_0pent_6428,-4.801,-2.559,2.243,0.119,-43887.883,-43882.066,-43889.448,-1.565,5.817
hc_c42h24_0pent_1982,-5.245,-2.109,3.136,0.099,-43887.987,-43881.731,-43889.108,-1.121,6.256
hc_c42h24_0pent_1091,-5.113,-2.094,3.019,0.277,-43887.248,-43881.119,-43888.370,-1.122,6.128
hc_c42h24_0pent_2027,-5.476,-1.853,3.622,0.298,-43888.054,-43881.563,-43888.923,-0.869,6.491
hc_c34h20_0pent_402,-5.039,-2.235,2.804,0.225,-35537.289,-35531.106,-35538.426,-1.137,6.183
hc_c42h24_0pent_1879,-5.203,-2.100,3.103,0.117,-43888.266,-43882.040,-43889.376,-1.111,6.226
hc_c42h24_0pent_5221,-5.074,-2.255,2.819,0.186,-43888.031,-43881.941,-43889.286,-1.255,6.090
hc_c42h24_0pent_1093,-5.093,-2.078,3.015,0.183,-43887.277,-43881.177,-43888.371,-1.094,6.100
hc_c42h24_0pent_575,-5.505,-1.688,3.817,0.112,-43888.451,-43881.956,-43889.218,-0.767,6.495
hc_c38h22_0pent_1553,-5.029,-2.146,2.883,0.206,-39712.355,-39706.176,-39713.438,-1.084,6.178
hc_c42h24_0pent_1391,-5.330,-1.932,3.397,0.152,-43887.393,-43881.050,-43888.341,-0.948,6.343
hc_c42h24_0pent_1292,-5.336,-1.827,3.508,0.397,-43887.652,-43881.246,-43888.443,-0.790,6.407
hc_c42h24_0pent_3854,-5.255,-2.046,3.209,0.238,-43888.262,-43881.991,-43889.320,-1.058,6.271
hc_c38h22_0pent_462,-5.399,-1.891,3.508,0.037,-39712.771,-39706.335,-39713.649,-0.877,6.436
hc_c42h24_0pent_3991,-5.347,-1.951,3.396,0.112,-43888.296,-43881.975,-43889.275,-0.979,6.321
hc_c42h24_0pent_5442,-5.145,-2.115,3.030,0.148,-43887.928,-43881.794,-43889.073,-1.144,6.134
hc_c38h22_0pent_236,-5.197,-1.939,3.258,0.194,-39712.381,-39706.108,-39713.294,-0.913,6.273
hc_c26h16_0pent_19,-5.422,-1.810,3.612,0.051,-27187.581,-27180.948,-27188.216,-0.635,6.633
hc_c42h24_0pent_3097,-5.273,-1.946,3.327,0.360,-43887.226,-43880.930,-43888.214,-0.988,6.296
hc_c42h24_0pent_2340,-5.370,-1.886,3.483,0.077,-43888.063,-43881.718,-43889.002,-0.939,6.346
hc_c38h22_0pent_1581,-4.776,-2.525,2.250,0.136,-39712.283,-39706.398,-39713.732,-1.449,5.885
hc_c42h24_0pent_1910,-5.382,-1.807,3.575,0.195,-43887.729,-43881.321,-43888.596,-0.867,6.408
hc_c42h24_0pent_2494,-5.374,-1.902,3.472,0.218,-43887.947,-43881.567,-43888.847,-0.900,6.380
hc_c42h24_0pent_4044,-5.340,-1.935,3.404,0.053,-43887.783,-43881.431,-43888.745,-0.962,6.353
hc_c42h24_0pent_3283,-5.350,-1.927,3.423,0.089,-43887.947,-43881.574,-43888.879,-0.932,6.373
hc_c38h22_0pent_998,-5.192,-1.998,3.194,0.090,-39712.784,-39706.563,-39713.783,-0.999,6.221
hc_c42h24_0pent_5230,-5.186,-2.171,3.015,0.183,-43888.587,-43882.412,-43889.783,-1.196,6.175
hc_c38h22_0pent_395,-5.281,-1.976,3.306,0.222,-39712.456,-39706.104,-39713.393,-0.937,6.352
hc_c42h24_0pent_835,-5.270,-1.932,3.337,0.491,-43887.462,-43881.069,-43888.339,-0.877,6.393
hc_c42h24_0pent_2509,-5.467,-1.891,3.576,0.124,-43887.990,-43881.512,-43888.899,-0.910,6.477
