molecule,augmented_lalas,lalas,n_rings,n_branching_points,n_secondary_branching_points,n_LAL,L_ratio,longest_L,longest_L_degeneracy,second_longest_L,A_ratio,A_ratio_insensitive,Aa_ratio,longest_A,longest_A_insensitive,longest_A_degeneracy,second_longest_A,second_longest_A_insensitive
hc_c34h20_0pent_209,ALAa()a,ALAA()A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,3,1,1,1
hc_c34h20_0pent_21,AA()A()a,AA()A()A,8,2,0,0,0.0000,0,9,0,0.5000,0.6667,0.3333,3,4,1,1,0
hc_c34h20_0pent_210,ALAaaa,ALAAAA,8,0,0,0,0.1667,1,1,0,0.3333,0.8333,0.6667,3,4,1,1,1
hc_c34h20_0pent_211,A()ALAa,A()ALAA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,2,2,2,1,0
hc_c34h20_0pent_212,AaLaAa,AALAAA,8,0,0,0,0.1667,1,1,0,0.3333,0.8333,0.6667,1,3,1,0,2
hc_c34h20_0pent_213,AAaLaA,AAALAA,8,0,0,0,0.1667,1,1,0,0.5000,0.8333,0.6667,2,3,1,1,2
hc_c34h20_0pent_214,AAALAa,AAALAA,8,0,0,0,0.1667,1,1,0,0.6667,0.8333,0.2500,3,3,1,1,2
hc_c34h20_0pent_215,LAA()AA,LAA()AA,8,1,0,0,0.1667,1,1,0,0.6667,0.6667,0.0000,4,4,1,0,0
hc_c34h20_0pent_216,LAA()Aa,LAA()AA,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,3,4,1,1,0
hc_c34h20_0pent_217,LAA(A)a,LAA(A)A,8,1,0,0,0.1667,1,1,0,0.5000,0.6667,0.3333,3,3,2,2,0
hc_c34h20_0pent_218,LAA(a)a,LAA(A)A,8,1,0,0,0.1667,1,1,0,0.3333,0.6667,1.0000,2,3,2,1,0
hc_c34h20_0pent_219,LAA()A(),LAA()A(),8,2,0,0,0.1667,1,1,0,0.5000,0.5000,0.0000,3,3,1,0,0
hc_c34h20_0pent_22,AAAA()A,AAAA()A,8,1,0,0,0.0000,0,8,0,0.8333,0.8333,0.0000,5,5,1,0,0
