molecule_id smiles
hc_c46h26_0pent_2882 c1ccc2cc3c(ccc4ccc5ccc6cc7c(ccc8c7ccc7ccc9ccc%10ccccc%10c9c78)cc6c5c43)cc2c1
hc_c46h26_0pent_12036 c1ccc2c(c1)ccc1ccc3cc4c5ccccc5c5c(ccc6c7ccc8ccccc8c7c7ccccc7c65)c4cc3c12
hc_c46h26_0pent_1297 c1ccc2c(c1)ccc1ccc3c(ccc4ccc5c6ccc7ccccc7c6c6c(ccc7ccc8ccccc8c76)c5c43)c12
hc_c46h26_0pent_19750 c1ccc2cc3cc4c(ccc5cc6ccc7ccc8cc9cc%10c(ccc%11ccccc%11%10)cc9cc8c7c6cc54)cc3cc2c1
hc_c46h26_0pent_15980 c1ccc2cc3c(ccc4ccc5c6cc7c(cc6ccc5c43)c3ccc4ccccc4c3c3ccc4ccccc4c73)cc2c1
hc_c46h26_0pent_14852 c1ccc2cc3c(ccc4c5cc6c(ccc7c8ccccc8c8cc9c(ccc%10ccccc%109)cc8c67)cc5ccc34)cc2c1
hc_c38h22_0pent_553 c1ccc2cc3c(ccc4cc5c(ccc6cc7c(ccc8c9ccccc9ccc78)cc65)cc43)cc2c1
hc_c42h24_0pent_4792 c1ccc2cc3c(ccc4ccc5cc6cc7c8ccccc8c8ccc9ccccc9c8c7cc6cc5c43)cc2c1
hc_c46h26_0pent_21718 c1ccc2c(c1)ccc1cc3cc4ccc5cc6ccc7ccc8ccc9ccc%10ccccc%10c9c8c7c6cc5c4cc3cc12
hc_c46h26_0pent_3083 c1ccc2cc3c(cc2c1)c1c(ccc2ccc4c5ccccc5ccc4c21)c1ccc2ccc4c5ccccc5ccc4c2c13
hc_c46h26_0pent_17507 c1ccc2c(c1)ccc1c3cc4ccc5ccc6ccc7ccc8ccccc8c7c6c5c4cc3c3c4ccccc4ccc3c21
hc_c46h26_0pent_22469 c1ccc2c(c1)ccc1cc3cc4ccc5c(ccc6c7cc8cc9c(ccc%10ccccc%109)cc8cc7ccc65)c4cc3cc12
hc_c46h26_0pent_13040 c1ccc2c(c1)ccc1c2ccc2c3cc4c5ccccc5c5ccc6ccc7ccc8ccccc8c7c6c5c4cc3ccc21
hc_c46h26_0pent_4089 c1ccc2c(c1)ccc1c2ccc2c3cc4ccc5ccc6cc7ccc8ccc9ccccc9c8c7cc6c5c4cc3ccc21
