molecule_id,smiles,annulation,n_branches,longest_A,longest_L,longest_L_degeneracy,second_longest_L,ratio_L,n_LAL,n_rings,HOMO_eV,LUMO_eV,GAP_eV,Dipmom_Debye,Etot_eV,Etot_pos_eV,Etot_neg_eV,aEA_eV,aIP_eV
hc_c42h24_0pent_2783,c1ccc2c(c1)ccc1c2ccc2c3cc4c(ccc5c6ccccc6c6ccccc6c45)cc3c3ccccc3c12,aaa()laa(),2,3,1,1,0,0.1666666666666666,0,10,-5.367,-1.903,3.464,0.269,-43888.058,-43881.674,-43888.98,-0.922,6.384
hc_c42h24_0pent_742,c1ccc2cc3c(ccc4c5ccccc5c5ccc6ccc7ccc8c9ccccc9ccc8c7c6c5c34)cc2c1,aaaaa()al,1,6,1,1,0,0.1428571428571428,0,10,-5.167,-1.929,3.238,0.058,-43887.237,-43880.942,-43888.07,-0.833,6.295
hc_c34h20_0pent_318,c1ccc2cc3c(cc2c1)c1ccccc1c1c2ccccc2c2ccc4ccccc4c2c31,aa()a()l,2,3,1,1,0,0.25,0,8,-5.259,-1.877,3.382,0.073,-35537.225,-35530.87,-35538.043,-0.818,6.355
hc_c42h24_0pent_507,c1ccc2c(c1)ccc1ccc3c4ccc5c6ccccc6c6c7ccccc7c7ccccc7c6c5c4ccc3c12,aaaaa()a(),2,6,0,0,0,0.0,0,10,-5.392,-1.755,3.637,0.051,-43887.585,-43881.189,-43888.378,-0.793,6.397
hc_c34h20_0pent_39,c1ccc2c(c1)ccc1c2ccc2ccc3c(ccc4c5ccccc5c5ccccc5c43)c21,a()aaaa,1,5,0,0,0,0.0,0,8,-5.557,-1.665,3.892,0.083,-35537.583,-35530.935,-35538.215,-0.632,6.648
hc_c42h24_0pent_4059,c1ccc2c(c1)ccc1cc3ccc4c(ccc5ccc6c7ccccc7c7c8ccccc8ccc7c6c54)c3cc12,aa()aaala,1,5,1,1,0,0.1428571428571428,0,10,-5.341,-1.942,3.399,0.084,-43887.773,-43881.424,-43888.743,-0.97,6.349
hc_c42h24_0pent_5082,c1ccc2c(c1)ccc1cc3cc4c(cc3cc12)c1ccccc1c1cc2cc3ccc5ccccc5c3cc2cc14,alla()lla,1,1,2,2,0,0.5714285714285714,0,10,-5.27,-2.156,3.114,0.076,-43888.447,-43882.197,-43889.643,-1.196,6.25
hc_c42h24_0pent_2987,c1ccc2cc3c(cc2c1)c1cc2ccccc2cc1c1c2ccc4cc5c(ccc6ccccc65)cc4c2ccc31,alaaa(l)l,1,3,1,3,0,0.4285714285714285,0,10,-5.43,-1.847,3.583,0.089,-43888.253,-43881.852,-43889.164,-0.911,6.401
hc_c42h24_0pent_3215,c1ccc2cc3c(ccc4c3ccc3c4ccc4c3ccc3c5ccccc5c5c6ccccc6ccc5c43)cc2c1,aa()aaaal,1,6,1,1,0,0.1428571428571428,0,10,-5.362,-1.924,3.437,0.038,-43887.955,-43881.602,-43888.906,-0.951,6.353
hc_c42h24_0pent_3920,c1ccc2c(c1)ccc1cc3c(ccc4c3ccc3ccc5c6cc7c(ccc8ccccc87)cc6ccc5c34)cc12,alaaaala,0,4,1,2,0,0.25,0,10,-5.322,-1.994,3.328,0.098,-43888.38,-43882.077,-43889.425,-1.045,6.302
